StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2022-08-26 07:15:00,2022-08-26 07:29:59,245,11,173,120
2022-08-26 07:30:00,2022-08-26 07:44:59,1384,50,981,840
2022-08-26 07:45:00,2022-08-26 07:59:59,417,16,295,300
2022-08-26 11:15:00,2022-08-26 11:29:59,86,3,61,60
2022-08-26 11:45:00,2022-08-26 11:59:59,95,4,67,120
2022-08-26 13:00:00,2022-08-26 13:14:59,629,24,446,360
2022-08-26 13:15:00,2022-08-26 13:29:59,25,1,17,60
2022-08-26 13:30:00,2022-08-26 13:44:59,562,20,398,360
2022-08-26 14:45:00,2022-08-26 14:59:59,152,7,107,120
2022-08-26 18:15:00,2022-08-26 18:29:59,385,17,273,180
2022-08-26 18:30:00,2022-08-26 18:44:59,1418,51,1006,900
2022-08-26 18:45:00,2022-08-26 18:59:59,747,29,529,540
2022-08-26 19:00:00,2022-08-26 19:14:59,723,27,512,540
2022-08-26 19:30:00,2022-08-26 19:44:59,282,14,200,180
2022-08-26 19:45:00,2022-08-26 19:59:59,137,5,97,60
2022-08-27 08:45:00,2022-08-27 08:59:59,121,6,85,60
2022-08-27 09:00:00,2022-08-27 09:14:59,44,3,31,60
2022-08-27 10:00:00,2022-08-27 10:14:59,98,4,69,60
2022-08-27 10:30:00,2022-08-27 10:44:59,350,13,248,240
2022-08-27 10:45:00,2022-08-27 10:59:59,686,24,486,360
2022-08-27 11:00:00,2022-08-27 11:14:59,625,26,443,480
2022-08-27 11:15:00,2022-08-27 11:29:59,796,30,564,420
2022-08-27 11:30:00,2022-08-27 11:44:59,1414,51,1003,900
2022-08-27 12:30:00,2022-08-27 12:44:59,328,12,232,180
2022-08-27 14:15:00,2022-08-27 14:29:59,342,13,242,180
2022-08-27 18:00:00,2022-08-27 18:14:59,349,16,247,360
2022-08-28 10:15:00,2022-08-28 10:29:59,63,3,44,60
2022-08-28 13:30:00,2022-08-28 13:44:59,48,2,34,60
2022-08-29 07:30:00,2022-08-29 07:44:59,401,15,284,240
2022-08-29 07:45:00,2022-08-29 07:59:59,1129,42,801,840
2022-08-29 08:00:00,2022-08-29 08:14:59,379,15,268,360
2022-08-29 13:00:00,2022-08-29 13:14:59,597,24,423,300
2022-08-29 13:15:00,2022-08-29 13:29:59,1025,38,727,600
2022-08-29 13:30:00,2022-08-29 13:44:59,495,19,351,360
2022-08-29 13:45:00,2022-08-29 13:59:59,795,31,564,480
2022-08-29 14:30:00,2022-08-29 14:44:59,134,5,95,180
2022-08-30 07:45:00,2022-08-30 07:59:59,867,33,615,540
2022-08-30 08:00:00,2022-08-30 08:14:59,807,32,572,600
2022-08-30 13:45:00,2022-08-30 13:59:59,876,35,621,600
2022-08-30 14:00:00,2022-08-30 14:14:59,88,4,62,120
2022-08-30 17:45:00,2022-08-30 17:59:59,523,21,371,300
2022-08-30 18:00:00,2022-08-30 18:14:59,1327,49,941,900
2022-08-30 18:15:00,2022-08-30 18:29:59,438,19,310,300
2022-08-30 21:00:00,2022-08-30 21:14:59,125,6,88,60
2022-08-30 22:30:00,2022-08-30 22:44:59,159,8,112,120
2022-08-31 00:00:00,2022-08-31 00:14:59,194,10,137,60
2022-09-03 07:30:00,2022-09-03 07:44:59,70,3,51,60
2022-09-03 10:00:00,2022-09-03 10:14:59,331,13,242,180
2022-09-03 10:15:00,2022-09-03 10:29:59,607,25,444,360
2022-09-03 12:30:00,2022-09-03 12:44:59,789,33,577,600
2022-09-03 13:00:00,2022-09-03 13:14:59,376,18,275,120
2022-09-03 13:15:00,2022-09-03 13:29:59,144,7,105,60
2022-09-03 13:30:00,2022-09-03 13:44:59,143,7,104,120
2022-09-03 14:30:00,2022-09-03 14:44:59,99,6,72,60
2022-09-03 14:45:00,2022-09-03 14:59:59,193,9,141,120
2022-09-03 15:00:00,2022-09-03 15:14:59,240,13,175,120
2022-09-03 15:15:00,2022-09-03 15:29:59,251,13,183,180
2022-09-03 15:30:00,2022-09-03 15:44:59,746,31,546,480
2022-09-03 15:45:00,2022-09-03 15:59:59,1393,53,1019,900
2022-09-03 16:00:00,2022-09-03 16:14:59,108,4,79,60
2022-09-03 21:45:00,2022-09-03 21:59:59,171,7,125,60
2022-09-03 22:00:00,2022-09-03 22:14:59,192,9,140,120
2022-09-04 08:30:00,2022-09-04 08:44:59,102,4,74,120
2022-09-04 08:45:00,2022-09-04 08:59:59,107,5,78,60
2022-09-04 09:45:00,2022-09-04 09:59:59,735,29,538,480
2022-09-04 11:45:00,2022-09-04 11:59:59,16,1,11,60
2022-09-04 16:15:00,2022-09-04 16:29:59,385,16,281,300
2022-09-04 18:15:00,2022-09-04 18:29:59,477,18,349,300
2022-09-04 18:45:00,2022-09-04 18:59:59,714,27,522,480
2022-09-04 19:00:00,2022-09-04 19:14:59,108,4,79,60
2022-09-04 20:30:00,2022-09-04 20:44:59,118,5,86,60
2022-09-05 06:15:00,2022-09-05 06:29:59,123,6,90,60
2022-09-05 07:30:00,2022-09-05 07:44:59,918,36,671,600
2022-09-05 07:45:00,2022-09-05 07:59:59,30,1,21,60
2022-09-05 08:30:00,2022-09-05 08:44:59,360,17,263,120
2022-09-05 08:45:00,2022-09-05 08:59:59,572,26,418,360
2022-09-05 09:00:00,2022-09-05 09:14:59,132,8,96,60
2022-09-05 09:15:00,2022-09-05 09:29:59,549,23,401,300
2022-09-05 09:30:00,2022-09-05 09:44:59,584,26,427,420
2022-09-05 09:45:00,2022-09-05 09:59:59,440,19,322,300
2022-09-05 10:00:00,2022-09-05 10:14:59,314,12,229,300
2022-09-05 10:15:00,2022-09-05 10:29:59,142,6,103,120
2022-09-05 13:45:00,2022-09-05 13:59:59,141,7,103,60
2022-09-05 14:00:00,2022-09-05 14:14:59,103,6,75,60
2022-09-05 14:30:00,2022-09-05 14:44:59,352,15,257,240
2022-09-05 14:45:00,2022-09-05 14:59:59,130,5,95,60
2022-09-05 15:00:00,2022-09-05 15:14:59,179,7,131,120
2022-09-05 15:45:00,2022-09-05 15:59:59,47,3,34,60
2022-09-05 16:30:00,2022-09-05 16:44:59,59,3,43,60
2022-09-05 16:45:00,2022-09-05 16:59:59,158,9,115,60
2022-09-05 17:00:00,2022-09-05 17:14:59,311,14,227,240
2022-09-05 17:15:00,2022-09-05 17:29:59,505,22,369,360
2022-09-05 17:30:00,2022-09-05 17:44:59,588,24,430,420
2022-09-05 17:45:00,2022-09-05 17:59:59,133,6,97,120
2022-09-05 19:00:00,2022-09-05 19:14:59,124,5,90,60
2022-09-05 20:15:00,2022-09-05 20:29:59,136,6,99,120
2022-09-05 22:15:00,2022-09-05 22:29:59,190,10,139,120
2022-09-06 02:45:00,2022-09-06 02:59:59,139,6,101,60
2022-09-06 07:00:00,2022-09-06 07:14:59,84,3,61,60
2022-09-06 07:15:00,2022-09-06 07:29:59,151,6,110,120
2022-09-06 07:30:00,2022-09-06 07:44:59,1011,40,740,720
2022-09-06 07:45:00,2022-09-06 07:59:59,141,6,103,120
